Exam Subject,Score,Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),All Students (2016)
ART HISTORY,5,1631,34,321,514,5,5,154,2704
ART HISTORY,4,3290,132,918,877,13,8,273,5587
ART HISTORY,3,3898,287,1347,992,19,10,307,6940
ART HISTORY,2,3211,450,1972,809,15,21,280,6868
ART HISTORY,1,942,307,1074,292,13,10,87,2771
ART HISTORY,All,12972,1210,5632,3484,65,54,1101,24870
ART HISTORY,Average,3.11,2.29,2.55,3.15,2.72,2.57,3.12,2.94
BIOLOGY,5,8585,153,788,4443,11,7,733,14894
BIOLOGY,4,29999,976,3966,10367,75,49,2139,48187
BIOLOGY,3,46377,3305,10511,13051,183,97,3477,77936
BIOLOGY,2,31140,6083,16454,9477,268,136,2790,67229
BIOLOGY,1,6098,4935,9157,2057,146,55,734,23730
BIOLOGY,All,122199,15452,40876,39395,683,344,9873,231976
BIOLOGY,Average,3.03,2.05,2.29,3.14,2.32,2.47,2.93,2.84
CALCULUS AB,5,42748,1405,6432,16956,87,78,2883,71403
CALCULUS AB,4,31455,1597,6189,9069,72,66,1993,50977
CALCULUS AB,3,31004,1960,7599,8105,108,73,1901,51239
CALCULUS AB,2,16824,1386,4912,4276,87,42,1106,28950
CALCULUS AB,1,42029,9031,24615,11013,367,192,3512,91887
CALCULUS AB,All,164060,15379,49747,49419,721,451,11395,294456
CALCULUS AB,Average,3.1,2.02,2.29,3.34,2.2,2.55,2.97,2.94
CALCULUS BC,5,28740,764,3749,18354,47,44,2281,54660
CALCULUS BC,4,9814,403,1815,4577,26,26,720,17557
CALCULUS BC,3,10878,615,2411,4569,35,29,836,19589
CALCULUS BC,2,3453,274,981,1476,19,14,271,6558
CALCULUS BC,1,6612,913,3086,2917,35,18,592,14331
CALCULUS BC,All,59497,2969,12042,31893,162,131,4700,112695
CALCULUS BC,Average,3.85,2.94,3.18,4.07,3.19,3.49,3.81,3.81
CHEMISTRY,5,6961,142,650,5438,17,14,593,14023
CHEMISTRY,4,12189,337,1399,6605,21,21,923,21803
CHEMISTRY,3,23358,1105,3783,9441,66,40,1609,39850
CHEMISTRY,2,20626,1829,5431,6637,103,48,1545,36586
CHEMISTRY,1,13626,3693,9305,3985,158,74,1327,32530
CHEMISTRY,All,76760,7106,20568,32106,365,197,5997,144792
CHEMISTRY,Average,2.72,1.79,1.96,3.09,2,2.25,2.65,2.64
CHINESE LANGUAGE & CULTURE,5,67,       ,16,5763,2,6,75,6122
CHINESE LANGUAGE & CULTURE,4,108,2,18,1459,       ,1,68,1722
CHINESE LANGUAGE & CULTURE,3,396,25,75,959,3,2,114,1639
CHINESE LANGUAGE & CULTURE,2,137,18,37,95,       ,       ,23,319
CHINESE LANGUAGE & CULTURE,1,207,48,64,91,1,3,25,454
CHINESE LANGUAGE & CULTURE,All,915,93,210,8367,6,12,305,10256
CHINESE LANGUAGE & CULTURE,Average,2.66,1.8,2.45,4.52,3.33,3.58,3.48,4.24
COMPUTER SCIENCE A,5,5396,112,563,4310,16,7,528,11132
COMPUTER SCIENCE A,4,5676,190,787,3648,12,7,531,11037
COMPUTER SCIENCE A,3,6470,371,1248,3610,22,16,551,12511
COMPUTER SCIENCE A,2,3468,299,878,1759,6,14,287,6801
COMPUTER SCIENCE A,1,5688,1055,2780,2586,32,27,518,12898
COMPUTER SCIENCE A,All,26698,2027,6256,15913,88,71,2415,54379
COMPUTER SCIENCE A,Average,3.06,2.02,2.28,3.34,2.7,2.34,3.11,3.01
MACROECONOMICS,5,11503,286,1532,5469,26,19,777,19835
MACROECONOMICS,4,16827,891,3534,6271,51,38,1115,29058
MACROECONOMICS,3,11561,882,3268,3614,39,31,781,20391
MACROECONOMICS,2,11396,1211,4681,3322,61,34,835,21821
MACROECONOMICS,1,11789,3630,12878,3674,91,69,1093,33774
MACROECONOMICS,All,63076,6900,25893,22350,268,191,4601,124879
MACROECONOMICS,Average,3.08,1.98,2.08,3.29,2.48,2.5,2.92,2.83
MICROECONOMICS,5,6022,118,628,3541,7,4,437,10891
MICROECONOMICS,4,11771,397,1664,4453,27,27,738,19296
MICROECONOMICS,3,9896,558,1994,2840,30,25,603,16163
MICROECONOMICS,2,5816,493,1720,1582,23,13,377,10138
MICROECONOMICS,1,5827,1433,4241,1771,33,19,468,14081
MICROECONOMICS,All,39332,2999,10247,14187,120,88,2623,70569
MICROECONOMICS,Average,3.16,2.09,2.29,3.45,2.6,2.82,3.11,3.04
ENGLISH LANGUAGE & COMPOSITION,5,35886,1242,4911,11441,66,61,2683,57051
ENGLISH LANGUAGE & COMPOSITION,4,60784,3119,11525,13110,176,129,4367,94387
ENGLISH LANGUAGE & COMPOSITION,3,87962,7800,25570,15701,404,262,6616,146155
ENGLISH LANGUAGE & COMPOSITION,2,82622,17020,48304,14252,791,418,7621,173529
ENGLISH LANGUAGE & COMPOSITION,1,18019,14036,27980,3307,495,202,2539,68235
ENGLISH LANGUAGE & COMPOSITION,All,285273,43217,118290,57811,1932,1072,23826,539357
ENGLISH LANGUAGE & COMPOSITION,Average,3.05,2.09,2.3,3.26,2.24,2.47,2.88,2.81
ENGLISH LITERATURE & COMPOSITION,5,18906,516,2371,5476,33,22,1472,29125
ENGLISH LITERATURE & COMPOSITION,4,46948,2063,7740,9692,120,61,3081,70386
ENGLISH LITERATURE & COMPOSITION,3,73232,5882,18682,12405,276,169,4981,116853
ENGLISH LITERATURE & COMPOSITION,2,63309,13838,36649,11391,602,301,5530,133227
ENGLISH LITERATURE & COMPOSITION,1,11719,11697,19090,2638,298,126,1613,48114
ENGLISH LITERATURE & COMPOSITION,All,214114,33996,84532,41602,1329,679,16677,397705
ENGLISH LITERATURE & COMPOSITION,Average,2.99,2,2.26,3.1,2.24,2.34,2.84,2.75
ENVIRONMENTAL SCIENCE,5,7500,110,815,2007,17,13,535,11127
ENVIRONMENTAL SCIENCE,4,22812,843,3758,4672,67,43,1517,34108
ENVIRONMENTAL SCIENCE,3,13640,844,3313,2653,52,34,919,21742
ENVIRONMENTAL SCIENCE,2,21558,2282,7717,4180,135,85,1658,38069
ENVIRONMENTAL SCIENCE,1,14974,6476,14412,3760,203,102,1626,42330
ENVIRONMENTAL SCIENCE,All,80484,10555,30015,17272,474,277,6255,147376
ENVIRONMENTAL SCIENCE,Average,2.83,1.66,1.96,2.83,2.07,2.21,2.63,2.55
EUROPEAN HISTORY,5,4943,128,583,1649,7,7,346,7777
EUROPEAN HISTORY,4,11050,349,1673,2949,29,12,783,17066
EUROPEAN HISTORY,3,19581,881,4270,4651,62,43,1452,31312
EUROPEAN HISTORY,2,20699,1771,8435,4604,131,74,1711,37884
EUROPEAN HISTORY,1,4964,1122,5064,1278,66,47,549,13312
EUROPEAN HISTORY,All,61237,4251,20025,15131,295,183,4841,107351
EUROPEAN HISTORY,Average,2.84,2.2,2.21,2.94,2.25,2.22,2.72,2.7
FRENCH LANGUAGE & CULTURE,5,1899,152,320,434,1,2,169,3062
FRENCH LANGUAGE & CULTURE,4,3013,343,612,844,4,7,226,5143
FRENCH LANGUAGE & CULTURE,3,3893,485,1141,881,5,6,297,6801
FRENCH LANGUAGE & CULTURE,2,2082,423,896,358,8,4,166,3995
FRENCH LANGUAGE & CULTURE,1,410,186,332,75,2,2,42,1067
FRENCH LANGUAGE & CULTURE,All,11297,1589,3301,2592,20,21,900,20068
FRENCH LANGUAGE & CULTURE,Average,3.35,2.91,2.91,3.46,2.7,3.14,3.35,3.26
GERMAN LANGUAGE & CULTURE,5,671,3,41,47,,       ,51,836
GERMAN LANGUAGE & CULTURE,4,819,21,59,59,1,       ,46,1013
GERMAN LANGUAGE & CULTURE,3,1038,19,98,80,4,2,37,1291
GERMAN LANGUAGE & CULTURE,2,790,27,92,47,1,2,32,1006
GERMAN LANGUAGE & CULTURE,1,293,10,70,21,1,1,16,419
GERMAN LANGUAGE & CULTURE,All,3611,80,360,254,7,5,182,4565
GERMAN LANGUAGE & CULTURE,Average,3.22,2.75,2.75,3.25,2.71,2.2,3.46,3.18
GOVERNMENT & POLITICS: COMPARATIVE,5,2775,79,345,753,4,6,190,4209
GOVERNMENT & POLITICS: COMPARATIVE,4,2930,149,417,662,8,9,187,4416
GOVERNMENT & POLITICS: COMPARATIVE,3,2741,201,556,555,10,4,189,4324
